Question_Number,Response
Q1_Age,20
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Jiangsu / 江苏 / 江蘇省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,12
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,YES
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ap
29,ak
30,ap
31,ah
32,ak
33,ap
34,at
35,ah
36,ak
37,ap
38,ah
39,ah
40,ak
41,at
42,ap
43,lah
44,pah
45,tap
46,tak
47,tsat
48,bap
49,lah
50,kap
