Question_Number,Response
Q1_Age,21
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,3
Q5_Languages,"Japanese / 日語 / 日本語 / 日本語; English / 英語 / 英語; Other / 其他 / その他"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,Low
27,ap
28,ap
29,ak
30,ak
31,ah
32,ap
33,ap
34,ap
35,at
36,ap
37,at
38,ah
39,ah
40,ak
41,ak
42,ap
43,lap
44,pap
45,tap
46,tak
47,tsap
48,bah
49,lak
50,kak
