Question_Number,Response
Q1_Age,26
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Korean / 韓語 / 韓国語 / 한국어"
Q6_Music_Years,21
Q7_Absolute_Pitch,YES
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,ak
30,ak
31,ah
32,ak
33,ap
34,ap
35,ah
36,ak
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pak
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kap
