Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q6_Music_Years,5
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,High
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ap
29,ak
30,at
31,ah
32,ap
33,ap
34,ak
35,ah
36,at
37,ap
38,ah
39,ah
40,ak
41,ap
42,at
43,lap
44,pak
45,tah
46,tah
47,tsap
48,bak
49,lat
50,kap
