Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,2
Q5_Languages,"French / 法語 / フランス語 / Français; English / 英語 / 英語"
Q6_Music_Years,3
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,High
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,at
31,ah
32,ak
33,ap
34,at
35,ah
36,at
37,ak
38,ak
39,ap
40,ap
41,at
42,at
43,lak
44,pat
45,tak
46,tap
47,tsap
48,bah
49,lah
50,kap
