Question_Number,Response
Q1_Age,37
Q2_Gender,Male
Q3_Country,United States / 美國 / アメリカ
Q3_Region,California
Q4_Num_L1,1
Q4_L1_Languages,"English / 英語 / 英語"
Q5_Num_Languages,1
Q5_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,Low
16,Low
17,Low
18,Low
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ap
29,at
30,ak
31,ah
32,ap
33,ak
34,ap
35,ah
36,at
37,ak
38,ah
39,at
40,ah
41,ap
42,at
43,lap
44,pak
45,tat
46,tak
47,tsap
48,bak
49,lah
50,kap
