Question_Number,Response
Q1_Age,27
Q2_Gender,Male
Q3_Country,United States / 美國 / アメリカ
Q3_Region,Hawaii
Q4_Num_L1,1
Q4_L1_Languages,"English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,4
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,Low
20,High
21,Low
22,Low
23,High
24,High
25,Low
26,High
27,ap
28,ap
29,ak
30,ak
31,ah
32,ak
33,ap
34,at
35,ah
36,at
37,ak
38,ah
39,ap
40,ah
41,at
42,at
43,lak
44,pak
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kak
