Question_Number,Response
Q1_Age,22
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Chiba / 千葉 / 千葉県
Q4_Num_L1,2
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語; English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,10
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,High
21,Low
22,Low
23,High
24,High
25,High
26,High
27,ap
28,ap
29,ak
30,at
31,ah
32,at
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ah
40,ah
41,at
42,at
43,lak
44,pap
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kak
