Question_Number,Response
Q1_Age,37
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Tokyo / 東京 / 東京都
Q4_Num_L1,1
Q4_L1_Languages,"English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,3
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,Low
20,High
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ap
29,ak
30,at
31,ah
32,ak
33,ak
34,at
35,ah
36,at
37,ak
38,ah
39,at
40,ah
41,ah
42,at
43,lak
44,pat
45,tat
46,tah
47,tsap
48,bah
49,lah
50,kat
