Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Chiba / 千葉 / 千葉県
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,6
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,High
16,Low
17,Low
18,High
19,Low
20,Low
21,Low
22,Low
23,Low
24,High
25,High
26,High
27,ak
28,ap
29,ak
30,ap
31,ah
32,at
33,ap
34,ap
35,ah
36,ak
37,ap
38,ah
39,ak
40,ah
41,ah
42,ak
43,lak
44,pap
45,tat
46,tak
47,tsap
48,bah
49,lat
50,kak
