Question_Number,Response
Q1_Age,20
Q2_Gender,Male
Q3_Country,Japan / 日本 / 日本
Q3_Region,Shizuoka / 静岡 / 静岡県
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,9
Q7_Absolute_Pitch,YES
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,High
16,Low
17,Low
18,High
19,Low
20,High
21,Low
22,Low
23,High
24,High
25,Low
26,Low
27,ap
28,ap
29,ak
30,at
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pap
45,tak
46,tah
47,tsap
48,bah
49,lah
50,kap
