Question_Number,Response
Q1_Age,19
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Hokkaido / 北海道 / 北海道
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,High
17,Low
18,Low
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ap
29,ak
30,at
31,ah
32,ak
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ah
40,ah
41,at
42,ak
43,lak
44,pap
45,tah
46,tak
47,tsap
48,bah
49,lah
50,kak
