Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,South Korea / 韓國 / 韓国
Q3_Region,Incheon / 仁川 / 仁川 / 인천
Q4_Num_L1,1
Q4_L1_Languages,"Korean / 韓語 / 韓国語 / 한국어"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,1
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,High
16,Low
17,Low
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ap
29,ap
30,ak
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ap
40,ah
41,at
42,at
43,lak
44,pak
45,tat
46,tat
47,tsap
48,bah
49,lah
50,kap
