Question_Number,Response
Q1_Age,24
Q2_Gender,Male
Q3_Country,South Korea / 韓國 / 韓国
Q3_Region,
Q4_Num_L1,2
Q4_L1_Languages,"Korean / 韓語 / 韓国語 / 한국어; English / 英語 / 英語"
Q5_Num_Languages,1
Q5_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q6_Music_Years,3
Q7_Absolute_Pitch,YES
Q8_Pronunciation_Training,YES
11,Low
12,High
13,Low
14,High
15,High
16,High
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,at
28,at
29,at
30,at
31,at
32,ah
33,ap
34,at
35,ah
36,at
37,ak
38,ah
39,ap
40,ah
41,at
42,at
43,lat
44,pap
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kap
