Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,3
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; English / 英語 / 英語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,3
Q5_Languages,"English / 英語 / 英語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語; Japanese / 日語 / 日本語 / 日本語"
Q6_Music_Years,3
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,YES
11,Low
12,Low
13,Low
14,Low
15,Low
16,Low
17,Low
18,High
19,High
20,High
21,High
22,High
23,High
24,High
25,Low
26,High
27,ak
28,ap
29,ak
30,ap
31,at
32,at
33,ah
34,ah
35,ak
36,ap
37,at
38,ah
39,ak
40,ap
41,ah
42,ap
43,lap
44,pat
45,tat
46,tap
47,tsat
48,bah
49,lat
50,kah
