Question_Number,Response
Q1_Age,53
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語; Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Mandarin / 普通話 / 標準中国語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,Low
12,High
13,High
14,High
15,Low
16,High
17,Low
18,Low
19,Low
20,Low
21,High
22,Low
23,Low
24,Low
25,Low
26,Low
27,ah
28,at
29,ah
30,ap
31,ak
32,ap
33,ah
34,ap
35,ah
36,ap
37,ak
38,ak
39,ap
40,ap
41,ap
42,ak
43,lak
44,pah
45,tak
46,tah
47,tsap
48,bap
49,lat
50,kah
