Question_Number,Response
Q1_Age,20
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語; Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,4
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,YES
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,High
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ah
28,ap
29,ak
30,at
31,ap
32,ap
33,ak
34,at
35,ap
36,ap
37,ap
38,at
39,ak
40,ah
41,at
42,at
43,lap
44,pat
45,tah
46,tah
47,tsap
48,bah
49,lah
50,kap
