Question_Number,Response
Q1_Age,34
Q2_Gender,Female
Q3_Country,Taiwan / 台湾地区 / 台湾地域
Q3_Region,Taipei / 台北 / 台北
Q4_Num_L1,2
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,2
Q5_Languages,"English / 英語 / 英語; Japanese / 日語 / 日本語 / 日本語"
Q6_Music_Years,1
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,YES
11,High
12,Low
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ap
29,ak
30,ap
31,ah
32,ak
33,ap
34,ak
35,ah
36,ap
37,ap
38,ah
39,ah
40,ah
41,ak
42,ap
43,lap
44,pak
45,tah
46,tah
47,tsap
48,bak
49,lah
50,kak
