Question_Number,Response
Q1_Age,50
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語; Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Mandarin / 普通話 / 標準中国語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,Low
14,Low
15,High
16,Low
17,High
18,Low
19,Low
20,High
21,Low
22,Low
23,High
24,Low
25,High
26,High
27,ah
28,ah
29,ah
30,ah
31,ak
32,ap
33,ah
34,ap
35,ah
36,ap
37,ap
38,ak
39,ah
40,ap
41,at
42,at
43,lah
44,pap
45,tak
46,tap
47,tsap
48,bat
49,lap
50,kah
