Question_Number,Response
Q1_Age,48
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,High
14,Low
15,High
16,Low
17,High
18,Low
19,High
20,Low
21,High
22,Low
23,Low
24,High
25,High
26,High
27,ap
28,ap
29,ah
30,ak
31,ah
32,ap
33,at
34,ak
35,ak
36,at
37,ah
38,ak
39,ap
40,ah
41,ak
42,at
43,lak
44,pat
45,tat
46,tah
47,tsap
48,bak
49,lah
50,kat
