Question_Number,Response
Q1_Age,56
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,Low
14,Low
15,High
16,High
17,High
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,ap
31,ah
32,ak
33,ak
34,ap
35,ah
36,ak
37,at
38,ah
39,ap
40,ah
41,ap
42,ak
43,lap
44,pah
45,tap
46,tak
47,tsap
48,bah
49,lah
50,kak
