Question_Number,Response
Q1_Age,30
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語
Q5_Num_Languages,0
Q5_Languages,
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,Low
14,Low
15,Low
16,High
17,Low
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ak
29,ap
30,ap
31,ah
32,ah
33,ap
34,ah
35,ah
36,ap
37,ap
38,ah
39,ap
40,ak
41,at
42,at
43,lap
44,pap
45,tah
46,tap
47,tsah
48,bap
49,lat
50,kak

