Question_Number,Response
Q1_Age,51
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"Mandarin / 普通話 / 標準中国語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,High
14,High
15,High
16,Low
17,High
18,High
19,High
20,High
21,High
22,High
23,High
24,High
25,High
26,Low
27,ak
28,ak
29,ak
30,ap
31,ah
32,ah
33,ak
34,ap
35,ah
36,ak
37,ah
38,ak
39,ap
40,ah
41,ak
42,ap
43,lap
44,pak
45,tah
46,tap
47,tsat
48,bah
49,lah
50,kap
