Question_Number,Response
Q1_Age,38
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,Low
16,High
17,High
18,Low
19,Low
20,Low
21,High
22,High
23,Low
24,Low
25,Low
26,High
27,ap
28,ap
29,ak
30,ap
31,ak
32,ap
33,ap
34,ap
35,ah
36,ak
37,ak
38,ah
39,ah
40,ah
41,at
42,at
43,lap
44,pat
45,tah
46,tak
47,tsap
48,bah
49,lah
50,kap
