Question_Number,Response
Q1_Age,19
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,High
14,High
15,High
16,Low
17,Low
18,Low
19,High
20,High
21,Low
22,Low
23,High
24,High
25,Low
26,High
27,ap
28,ak
29,ah
30,at
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ah
40,ak
41,ah
42,at
43,lak
44,pak
45,tah
46,tah
47,tsak
48,bah
49,lah
50,kak
