Question_Number,Response
Q1_Age,20
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; English / 英語 / 英語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ap
29,at
30,at
31,ah
32,ak
33,ap
34,ap
35,at
36,ak
37,ak
38,at
39,ak
40,ak
41,ak
42,at
43,lak
44,pap
45,tah
46,tap
47,tsap
48,bah
49,lak
50,kap
