Question_Number,Response
Q1_Age,34
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Hainan / 海南 / 海南省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ak
28,ap
29,at
30,ap
31,ak
32,ap
33,ap
34,at
35,ah
36,at
37,ah
38,ak
39,ak
40,ah
41,at
42,at
43,lak
44,pap
45,tat
46,tat
47,tsap
48,bap
49,lah
50,kap
