Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Sichuan / 四川 / 四川省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,Low
13,High
14,High
15,High
16,High
17,Low
18,High
19,High
20,Low
21,High
22,Low
23,Low
24,High
25,Low
26,Low
27,ap
28,ak
29,ap
30,at
31,ah
32,ap
33,ap
34,ah
35,ak
36,ap
37,ah
38,ah
39,at
40,at
41,ah
42,ah
43,lap
44,pap
45,tah
46,tap
47,tsat
48,bat
49,lah
50,kah
