Question_Number,Response
Q1_Age,
Q2_Gender,
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,2
Q5_Languages,"English / 英語 / 英語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,Low
16,Low
17,Low
18,High
19,Low
20,High
21,High
22,High
23,High
24,High
25,High
26,High
27,ap
28,ap
29,ap
30,ap
31,ah
32,ah
33,ap
34,ap
35,ah
36,ak
37,ah
38,ah
39,ah
40,ap
41,ah
42,ah
43,lap
44,pah
45,tah
46,tap
47,tsap
48,bap
49,lah
50,kap
