Question_Number,Response
Q1_Age,28
Q2_Gender,Female
Q3_Country,Taiwan / 台湾地区 / 台湾地域
Q3_Region,Taipei / 台北 / 台北
Q4_Num_L1,2
Q4_L1_Languages,"English / 英語 / 英語; Mandarin / 普通話 / 標準中国語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,2
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,High
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,at
31,ah
32,at
33,ap
34,ap
35,ah
36,at
37,at
38,ah
39,ah
40,ah
41,at
42,at
43,lap
44,pat
45,tah
46,tah
47,tsap
48,bah
49,lah
50,kap
