Question_Number,Response
Q1_Age,45
Q2_Gender,Male
Q3_Country,Hong Kong SAR / 香港特别行政区 / 香港特別行政区
Q3_Region,Hong Kong Island / 香港島 / 香港島
Q4_Num_L1,2
Q4_L1_Languages,"Cantonese / 粵語 / 広東語; English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,1
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,High
21,Low
22,Low
23,Low
24,Low
25,Low
26,Low
27,ak
28,ap
29,ak
30,ak
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,at
40,ah
41,at
42,ak
43,lak
44,pak
45,tah
46,tat
47,tsak
48,bah
49,lah
50,kak
