Question_Number,Response
Q1_Age,18
Q2_Gender,Male
Q3_Country,Japan / 日本 / 日本
Q3_Region,Tokyo / 東京 / 東京都
Q4_Num_L1,2
Q4_L1_Languages,"English / 英語 / 英語; Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,12
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,High
16,High
17,Low
18,High
19,High
20,High
21,Low
22,High
23,Low
24,Low
25,Low
26,High
27,at
28,ap
29,ah
30,at
31,ah
32,at
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pak
45,tah
46,tah
47,tsap
48,bah
49,lah
50,kap
