Question_Number,Response
Q1_Age,54
Q2_Gender,Male
Q3_Country,United Kingdom / 英國 / イギリス
Q3_Region,England / 英格蘭 / イングランド
Q4_Num_L1,1
Q4_L1_Languages,"English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,0
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,Low
16,Low
17,Low
18,Low
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,ak
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ap
38,ah
39,ak
40,ah
41,ap
42,at
43,lak
44,pap
45,tat
46,tah
47,tsap
48,bah
49,lah
50,kap
