Question_Number,Response
Q1_Age,22
Q2_Gender,Male
Q3_Country,United States / 美國 / アメリカ
Q3_Region,Colorado
Q4_Num_L1,1
Q4_L1_Languages,"English / 英語 / 英語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,4
Q7_Absolute_Pitch,NOT SURE
Q8_Pronunciation_Training,YES
11,Low
12,High
13,Low
14,Low
15,High
16,Low
17,Low
18,High
19,High
20,Low
21,High
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,ap
30,at
31,ah
32,at
33,ap
34,ap
35,ah
36,at
37,at
38,ah
39,ap
40,ah
41,at
42,at
43,lak
44,pap
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kak
