Question_Number,Response
Q1_Age,64
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Shizuoka / 静岡 / 静岡県
Q4_Num_L1,1
Q4_L1_Languages,Japanese / 日語 / 日本語 / 日本語
Q5_Num_Languages,1
Q5_Languages,French / 法語 / フランス語 / Français
Q6_Music_Years,14
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,High
15,High
16,High
17,Low
18,High
19,Low
20,Low
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,ap
31,ah
32,ap
33,ap
34,at
35,ah
36,ak
37,at
38,ah
39,at
40,ah
41,at
42,at
43,lat
44,pap
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kak
