Question_Number,Response
Q1_Age,21
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Kanagawa / 神奈川 / 神奈川県
Q4_Num_L1,2
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語; English / 英語 / 英語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,6
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,Low
16,High
17,Low
18,Low
19,Low
20,Low
21,High
22,Low
23,Low
24,High
25,Low
26,Low
27,at
28,ap
29,ak
30,ak
31,ah
32,ak
33,ap
34,ap
35,ah
36,ap
37,at
38,ak
39,ah
40,ah
41,at
42,ap
43,lat
44,pak
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kap
