Question_Number,Response
Q1_Age,20
Q2_Gender,Female
Q3_Country,Japan / 日本 / 日本
Q3_Region,Ehime / 愛媛 / 愛媛県
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,2
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,High
21,Low
22,High
23,High
24,Low
25,Low
26,High
27,ak
28,ap
29,ak
30,at
31,ah
32,ap
33,ap
34,ap
35,ah
36,at
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pat
45,tat
46,tap
47,tsap
48,bak
49,lah
50,kak
