Question_Number,Response
Q1_Age,24
Q2_Gender,Prefer not to say
Q3_Country,Japan / 日本 / 日本
Q3_Region,Shizuoka / 静岡 / 静岡県
Q4_Num_L1,1
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語"
Q5_Num_Languages,2
Q5_Languages,"English / 英語 / 英語; Korean / 韓語 / 韓国語 / 한국어"
Q6_Music_Years,10
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,High
12,High
13,High
14,High
15,High
16,Low
17,High
18,High
19,Low
20,High
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,at
30,ak
31,ah
32,ap
33,ap
34,at
35,ah
36,ak
37,ak
38,at
39,ap
40,ak
41,ak
42,at
43,lap
44,pak
45,tat
46,tap
47,tsap
48,bah
49,lah
50,kap
