Question_Number,Response
Q1_Age,19
Q2_Gender,Male
Q3_Country,Japan / 日本 / 日本
Q3_Region,Tokyo / 東京 / 東京都
Q4_Num_L1,2
Q4_L1_Languages,"Japanese / 日語 / 日本語 / 日本語; Korean / 韓語 / 韓国語 / 한국어"
Q5_Num_Languages,1
Q5_Languages,"English / 英語 / 英語"
Q6_Music_Years,
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,Low
21,Low
22,Low
23,Low
24,Low
25,Low
26,High
27,at
28,ap
29,ak
30,at
31,ah
32,at
33,ap
34,at
35,ah
36,at
37,at
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pak
45,tat
46,tah
47,tsat
48,bah
49,lah
50,kat
