Question_Number,Response
Q1_Age,25
Q2_Gender,Male
Q3_Country,South Korea / 韓國 / 韓国 / 대한민국
Q3_Region,Seoul / 首爾 / ソウル / 서울
Q4_Num_L1,1
Q4_L1_Languages,"Korean / 韓語 / 韓国語 / 한국어"
Q5_Num_Languages,2
Q5_Languages,"Japanese / 日語 / 日本語 / 日本語; English / 英語 / 英語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,High
16,High
17,Low
18,High
19,High
20,High
21,High
22,Low
23,High
24,High
25,Low
26,High
27,ak
28,ap
29,ak
30,at
31,ah
32,ak
33,ap
34,ap
35,ah
36,ak
37,ak
38,ah
39,ak
40,ah
41,at
42,at
43,lak
44,pak
45,tat
46,tah
47,tsap
48,bah
49,lah
50,kak
