Question_Number,Response
Q1_Age,45
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,0
Q5_Languages,""
Q6_Music_Years,3
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,YES
11,High
12,High
13,Low
14,High
15,High
16,Low
17,Low
18,High
19,High
20,High
21,Low
22,Low
23,Low
24,Low
25,High
26,High
27,ap
28,ap
29,ah
30,at
31,ah
32,ap
33,ap
34,ah
35,ah
36,at
37,ak
38,ah
39,ap
40,ah
41,at
42,ak
43,lak
44,pah
45,tah
46,tap
47,tsap
48,bah
49,lah
50,kap
