Question_Number,Response
Q1_Age,57
Q2_Gender,Female
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,2
Q4_L1_Languages,"Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,2
Q5_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q6_Music_Years,0
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,Low
13,High
14,High
15,High
16,High
17,High
18,High
19,Low
20,High
21,High
22,High
23,High
24,High
25,High
26,Low
27,ap
28,ap
29,ah
30,ap
31,ak
32,ap
33,ap
34,ah
35,at
36,ah
37,ak
38,ap
39,ah
40,ap
41,ah
42,ah
43,lat
44,pap
45,tat
46,tah
47,tsah
48,bap
49,lah
50,kap
