Question_Number,Response
Q1_Age,54
Q2_Gender,Male
Q3_Country,Mainland China / 中国大陆 / 中国本土
Q3_Region,Fujian / 福建 / 福建省
Q4_Num_L1,1
Q4_L1_Languages,"Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q5_Num_Languages,2
Q5_Languages,"Mandarin / 普通話 / 標準中国語; Min Nan / Taiwanese / 閩南語/台語 / 閩南語/台湾語"
Q6_Music_Years,3
Q7_Absolute_Pitch,NO
Q8_Pronunciation_Training,NO
11,Low
12,High
13,Low
14,Low
15,Low
16,High
17,Low
18,Low
19,Low
20,Low
21,High
22,Low
23,Low
24,Low
25,Low
26,High
27,ap
28,ak
29,ak
30,ap
31,ah
32,ap
33,ap
34,ak
35,ah
36,at
37,ap
38,ah
39,ak
40,ah
41,at
42,ak
43,lap
44,pak
45,tat
46,tap
47,tsap
48,bat
49,lak
50,kap
